START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/23/17,,,Royals at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/23/17,05/23/17,,,FALSE,TRUE,05/23/17,,,FREE,BUSY
05/24/17,,,Royals at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/24/17,05/24/17,,,FALSE,TRUE,05/24/17,,,FREE,BUSY
05/25/17,,,Royals at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/25/17,05/25/17,,,FALSE,TRUE,05/25/17,,,FREE,BUSY
05/26/17,,,Athletics at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/26/17,05/26/17,,,FALSE,TRUE,05/26/17,,,FREE,BUSY
05/27/17,,,Athletics at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/27/17,05/27/17,,,FALSE,TRUE,05/27/17,,,FREE,BUSY
05/28/17,,,Athletics at Yankees - Time TBD,Yankee Stadium - Bronx,"",05/28/17,05/28/17,,,FALSE,TRUE,05/28/17,,,FREE,BUSY
05/29/17,01:35 PM,01:35 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"",05/29/17,05/29/17,04:35 PM,04:35 PM,FALSE,TRUE,05/29/17,12:35 PM,12:35 PM,FREE,BUSY
05/30/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"",05/30/17,05/30/17,10:05 PM,10:05 PM,FALSE,TRUE,05/30/17,06:05 PM,06:05 PM,FREE,BUSY
05/31/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"",05/31/17,05/31/17,10:05 PM,10:05 PM,FALSE,TRUE,05/31/17,06:05 PM,06:05 PM,FREE,BUSY
06/01/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/01/17,06/01/17,10:07 PM,10:07 PM,FALSE,TRUE,06/01/17,06:07 PM,06:07 PM,FREE,BUSY
06/02/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/02/17,06/02/17,10:07 PM,10:07 PM,FALSE,TRUE,06/02/17,06:07 PM,06:07 PM,FREE,BUSY
06/03/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/03/17,06/03/17,04:07 PM,04:07 PM,FALSE,TRUE,06/03/17,12:07 PM,12:07 PM,FREE,BUSY
06/04/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/04/17,06/04/17,04:07 PM,04:07 PM,FALSE,TRUE,06/04/17,12:07 PM,12:07 PM,FREE,BUSY
06/06/17,,,Red Sox at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/06/17,06/06/17,,,FALSE,TRUE,06/06/17,,,FREE,BUSY
06/07/17,,,Red Sox at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/07/17,06/07/17,,,FALSE,TRUE,06/07/17,,,FREE,BUSY
06/08/17,,,Red Sox at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/08/17,06/08/17,,,FALSE,TRUE,06/08/17,,,FREE,BUSY
06/09/17,,,Orioles at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/09/17,06/09/17,,,FALSE,TRUE,06/09/17,,,FREE,BUSY
06/10/17,,,Orioles at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/10/17,06/10/17,,,FALSE,TRUE,06/10/17,,,FREE,BUSY
